,VOTER_ID,SET_NO,OPP_SEX,AGE,HH_ND,HH_NR,HH_NI,MED_AGE,NH_WHITE,NH_AA,NH_ASIAN,NH_MULT,HISP,COMM_LT10,COMM_609P,MED_HH_INC,COMM_CAR,COMM_CP,COMM_PT,COMM_WALK,KIDS,M_MAR,F_MAR,ED_4COL,GENDER_F,GENDER_M,H_AFDLN3P,H_F1,H_M1,H_MFDLN3P,PARTY_D,PARTY_I,PARTY_R,VPP_08,VPP_12,VPR_08,VPR_10,VPR_12,VG_04,VG_06,VG_08,VG_10,VG_12,PP_PELIG,PR_PELIG,AP_PELIG,G_PELIG,E_PELIG,NL5G,NL3PR,NL5AP,NL2PP,REG_DAYS,UPSCALEBUY,UPSCALEMAL,UPSCALEFEM,BOOKBUYERI,FAMILYMAGA,FEMALEORIE,RELIGIOUSM,GARDENINGM,CULINARYIN,HEALTHFITN,DOITYOURSE,FINANCIALM,RELIGIOUSC,POLITICALC,MEDIANEDUC,CAND1S,CAND2S,MESSAGE_A,MESSAGE_A_REV,I3,CAND1_UND,CAND2_UND,MOVED_AD,MOVED_A,opposite
1,193801,2,0,28,1,1,1,37,61,34,0,0,4,26,2,59954,79,21,0,0,7,20,64,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,40,20,2,0,0,0,3997,0,0,1,6,1,1,0,0,1,7,2,1,1,1,11,S,S,1,0,N,N,N,N,0,1
2,627701,1,0,53,2,0,0,46,87,8,0,0,5,10,1,56196,74,22,1,1,16,61,54,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,S,S,1,0,N,N,N,N,0,1
3,306924,2,0,68,2,1,0,41,23,64,7,2,3,5,7,58950,76,5,11,3,25,50,54,15,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,33,20,80,50,4,1,1,0,4217,0,0,0,1,1,0,0,0,0,1,0,0,1,1,12,S,L,1,0,N,N,N,Y,1,0
4,547609,1,0,66,0,2,0,35,53,29,4,0,3,27,4,54809,71,2,2,6,30,35,62,39,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,100,50,5,0,0,0,3434,0,0,0,1,0,0,0,0,0,1,0,0,1,1,15,S,S,1,0,N,N,N,N,0,1
5,141105,3,0,23,0,3,1,42,74,18,0,0,8,6,12,75063,92,4,2,0,24,50,50,19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100,50,1,0,0,0,1215,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,S,S,1,0,N,N,N,N,0,1
6,334787,1,0,49,2,0,0,32,64,30,4,0,2,4,8,81506,87,6,4,0,20,54,46,33,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,50,67,60,100,80,5,2,3,1,10899,0,0,0,2,1,0,0,0,0,1,0,0,1,1,14,U,S,1,0,N,Y,N,Y,1,0
7,431906,1,0,59,2,0,0,50,82,0,0,1,17,7,2,75577,87,11,0,0,20,63,72,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,L,S,1,0,N,N,N,Y,1,0
8,618337,3,0,37,0,1,1,53,97,2,0,0,1,16,0,94196,90,8,0,0,14,45,42,31,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,100,0,40,100,70,5,0,2,2,4136,0,0,1,2,1,0,0,0,0,1,0,0,1,1,13,S,S,1,0,N,N,N,N,0,1
9,84502,3,0,23,1,2,3,32,67,12,14,2,5,9,5,125154,76,11,3,4,19,43,43,34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,1,2,1,0,0,0,0,1,0,0,1,1,12,L,S,1,0,Y,N,N,Y,1,0
10,316168,3,0,62,1,0,1,37,54,37,1,7,2,21,5,50446,92,1,0,2,20,44,38,15,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,33,20,100,60,5,1,1,0,10879,0,0,0,2,1,0,0,0,0,1,0,0,0,0,12,S,S,1,0,Y,N,N,N,0,1
11,442652,1,0,79,2,0,0,33,42,17,0,1,39,11,2,46125,62,12,17,5,15,34,26,12,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,50,67,60,100,80,5,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,12,L,S,1,0,N,N,N,Y,1,0
12,214677,3,0,42,2,1,1,41,23,64,7,2,3,5,7,58950,76,5,11,3,25,50,54,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7988,0,0,0,1,1,0,0,0,0,1,0,0,1,1,12,S,S,1,0,N,N,N,N,0,1
13,97342,2,0,37,0,0,2,38,76,17,1,1,4,8,18,73618,86,9,2,1,29,71,59,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,40,20,2,0,0,0,3786,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,L,S,1,0,Y,N,N,N,0,1
14,296786,2,0,36,2,0,0,53,97,2,0,0,1,16,0,94196,90,8,0,0,14,45,42,31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,40,20,2,0,0,0,5025,0,0,1,2,1,0,0,0,0,1,0,0,1,1,12,L,S,1,0,N,N,N,Y,1,0
15,93508,2,0,57,4,0,1,34,58,27,3,6,6,6,6,51797,92,5,1,1,19,42,36,17,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,50,100,80,100,90,5,3,4,1,5145,0,0,0,1,0,0,0,0,0,1,0,0,1,1,12,U,S,1,0,N,Y,N,Y,1,0
16,204846,2,0,40,2,1,0,32,64,30,4,0,2,4,8,81506,87,6,4,0,20,54,46,33,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50,25,1,0,0,0,1644,0,0,0,2,1,0,0,0,0,1,0,0,1,1,12,S,S,1,0,N,N,N,N,0,1
17,562538,2,11,71,2,0,1,38,76,17,1,1,4,8,18,73618,86,9,2,1,29,71,59,13,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,50,100,80,100,90,5,3,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,12,U,S,1,0,N,Y,N,Y,1,0
18,26024,2,0,71,0,2,0,44,58,22,1,2,17,17,8,51544,76,11,5,1,24,48,51,15,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,100,33,60,100,78,4,1,3,2,2821,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,S,S,1,0,N,N,N,N,0,1
19,262604,3,0,60,4,0,0,41,23,64,7,2,3,5,7,58950,76,5,11,3,25,50,54,15,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,33,20,100,60,5,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,12,L,S,1,0,N,N,N,Y,1,0
20,190673,1,0,28,2,1,0,62,97,0,0,3,0,16,10,63500,77,3,0,7,8,66,63,43,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,60,30,3,0,0,0,3604,0,0,1,2,1,0,0,0,0,1,0,1,0,0,13,L,S,1,0,N,N,N,Y,1,0
21,553460,1,0,43,1,0,2,32,64,30,4,0,2,4,8,81506,87,6,4,0,20,54,46,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,10,1,0,0,0,8191,0,0,0,2,1,0,0,0,0,1,0,0,1,1,12,S,S,1,0,N,N,N,N,0,1
22,620068,3,20,55,0,4,0,38,85,4,4,8,0,16,5,84333,84,8,4,1,11,52,50,44,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,80,40,4,0,0,0,7876,0,0,1,2,1,0,0,0,0,1,0,1,1,1,15,S,S,1,0,N,N,N,N,0,1
23,422971,3,0,84,0,1,1,37,54,37,1,7,2,21,5,50446,92,1,0,2,20,44,38,15,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,50,100,80,100,90,5,3,4,1,16209,0,0,0,2,1,0,0,0,0,1,0,0,0,0,13,S,S,1,0,N,N,N,N,0,1
